"Mês Ano";"Área de atuação (Função)";"Subfunção";"Valor Empenhado";"Valor Liquidado";"Valor Pago";"Valor Restos a Pagar Pagos";
"01/2025";"06 - Segurança pública";"128 - Formação de recursos humanos";"90.696.400,00";"0,00";"0,00";"1.800,00";
"01/2025";"06 - Segurança pública";"846 - Outros encargos especiais";"959.431.879,00";"114.103.487,11";"35.221,28";"553.377,87";
"01/2025";"06 - Segurança pública";"422 - Direitos individuais, coletivos e difusos";"4.982.786,46";"316.858,59";"25.476,18";"8.046.237,64";
"01/2025";"06 - Segurança pública";"421 - Custódia e reintegração social";"17.392.577,74";"3.812.950,89";"2.498.131,24";"4.377.715,82";
"01/2025";"06 - Segurança pública";"331 - Proteção e benefícios ao trabalhador";"438.215.116,30";"48.057.770,54";"3.693.552,17";"53.465.831,92";
"01/2025";"06 - Segurança pública";"181 - Policiamento";"1.709.136.595,75";"42.089.116,73";"40.326.095,10";"181.304.042,96";
"01/2025";"06 - Segurança pública";"182 - Defesa civil";"95.598.351,31";"49.788.574,27";"44.413.121,77";"30.308.033,20";
"01/2025";"06 - Segurança pública";"122 - Administração geral";"5.196.273.961,16";"617.818.254,65";"13.893.327,91";"758.559.153,23";
"02/2025";"06 - Segurança pública";"422 - Direitos individuais, coletivos e difusos";"151.077,63";"305.096,82";"304.976,13";"597.166,67";
"02/2025";"06 - Segurança pública";"846 - Outros encargos especiais";"0,00";"112.556.245,33";"114.109.031,22";"18.111,54";
"02/2025";"06 - Segurança pública";"421 - Custódia e reintegração social";"1.288.433,27";"2.351.802,38";"3.445.131,07";"55.027.568,20";
"02/2025";"06 - Segurança pública";"181 - Policiamento";"191.881.633,08";"84.121.221,84";"55.636.708,09";"114.756.514,99";
"02/2025";"06 - Segurança pública";"331 - Proteção e benefícios ao trabalhador";"- 4.514.242,82";"48.803.457,19";"48.585.889,97";"172.236,65";
"02/2025";"06 - Segurança pública";"182 - Defesa civil";"93.086.652,93";"24.669.765,84";"25.109.020,58";"67.016.311,90";
"02/2025";"06 - Segurança pública";"122 - Administração geral";"103.948.110,70";"639.311.977,66";"639.921.905,76";"51.487.343,64";
"03/2025";"06 - Segurança pública";"846 - Outros encargos especiais";"0,00";"113.325.600,43";"112.566.607,45";"102.958,38";
"03/2025";"06 - Segurança pública";"331 - Proteção e benefícios ao trabalhador";"7.980.645,08";"48.578.144,45";"48.408.681,96";"4.097.372,26";
"03/2025";"06 - Segurança pública";"421 - Custódia e reintegração social";"18.277.356,47";"3.146.166,21";"2.926.841,22";"22.448.245,09";
"03/2025";"06 - Segurança pública";"422 - Direitos individuais, coletivos e difusos";"609.955,89";"417.616,01";"401.200,90";"1.623.673,05";
"03/2025";"06 - Segurança pública";"181 - Policiamento";"111.993.191,90";"129.784.736,08";"90.581.145,56";"177.734.766,73";
"03/2025";"06 - Segurança pública";"182 - Defesa civil";"113.905.682,58";"41.015.136,78";"16.234.046,85";"81.681.946,68";
"03/2025";"06 - Segurança pública";"122 - Administração geral";"96.180.808,78";"662.709.197,95";"649.488.822,19";"26.526.450,46";
"04/2025";"06 - Segurança pública";"128 - Formação de recursos humanos";"- 45.000.000,00";"0,00";"0,00";"0,00";
"04/2025";"06 - Segurança pública";"846 - Outros encargos especiais";"450.000.000,00";"114.939.880,78";"113.305.776,11";"9.088,50";
"04/2025";"06 - Segurança pública";"422 - Direitos individuais, coletivos e difusos";"3.646.543,72";"1.622.893,61";"435.271,79";"300.000,00";
"04/2025";"06 - Segurança pública";"331 - Proteção e benefícios ao trabalhador";"142.072.944,91";"49.637.813,64";"48.761.797,17";"721.240,57";
"04/2025";"06 - Segurança pública";"421 - Custódia e reintegração social";"1.939.653,64";"3.517.472,28";"3.276.554,62";"9.766.241,49";
"04/2025";"06 - Segurança pública";"182 - Defesa civil";"90.106.486,32";"64.701.069,18";"66.625.090,04";"53.473.059,73";
"04/2025";"06 - Segurança pública";"181 - Policiamento";"128.091.995,41";"116.467.239,23";"134.643.225,51";"223.490.524,51";
"04/2025";"06 - Segurança pública";"122 - Administração geral";"2.114.817.778,65";"681.039.180,53";"670.678.940,16";"15.577.996,50";
"05/2025";"06 - Segurança pública";"422 - Direitos individuais, coletivos e difusos";"4.255.365,68";"450.628,73";"1.670.126,65";"4.681.300,82";
"05/2025";"06 - Segurança pública";"846 - Outros encargos especiais";"- 66.932.638,00";"118.846.924,13";"114.893.465,64";"60.116,52";
"05/2025";"06 - Segurança pública";"421 - Custódia e reintegração social";"641.142,40";"4.039.560,22";"4.317.520,20";"4.292.858,97";
"05/2025";"06 - Segurança pública";"331 - Proteção e benefícios ao trabalhador";"1.803.468,46";"59.091.736,25";"57.550.544,53";"10.020,02";
"05/2025";"06 - Segurança pública";"181 - Policiamento";"204.720.338,40";"139.979.586,76";"116.146.967,71";"126.564.224,04";
"05/2025";"06 - Segurança pública";"182 - Defesa civil";"233.963.810,75";"124.734.144,36";"118.984.677,72";"51.285.048,10";
"05/2025";"06 - Segurança pública";"122 - Administração geral";"149.547.995,26";"676.863.205,28";"660.645.932,59";"18.029.021,99";
"06/2025";"06 - Segurança pública";"846 - Outros encargos especiais";"0,00";"118.750.396,59";"118.955.945,63";"0,00";
"06/2025";"06 - Segurança pública";"421 - Custódia e reintegração social";"49.590.533,35";"3.491.189,96";"3.106.547,67";"4.692.099,57";
"06/2025";"06 - Segurança pública";"331 - Proteção e benefícios ao trabalhador";"15.735.491,27";"56.819.578,43";"51.605.262,80";"0,00";
"06/2025";"06 - Segurança pública";"422 - Direitos individuais, coletivos e difusos";"2.875.080,72";"3.832.515,77";"515.054,95";"5.226.660,42";
"06/2025";"06 - Segurança pública";"181 - Policiamento";"179.428.189,45";"464.570.673,61";"118.806.394,49";"118.374.396,66";
"06/2025";"06 - Segurança pública";"122 - Administração geral";"120.514.416,00";"789.650.078,47";"660.352.510,57";"9.211.895,32";
"06/2025";"06 - Segurança pública";"182 - Defesa civil";"110.318.366,07";"74.220.570,47";"45.834.524,77";"26.025.240,69";
"07/2025";"06 - Segurança pública";"846 - Outros encargos especiais";"0,00";"119.086.949,07";"118.612.614,86";"0,00";
"07/2025";"06 - Segurança pública";"421 - Custódia e reintegração social";"29.794.579,90";"3.014.708,17";"2.944.698,97";"18.433.707,94";
"07/2025";"06 - Segurança pública";"422 - Direitos individuais, coletivos e difusos";"6.414.505,82";"1.348.608,59";"4.653.676,39";"2.578.047,45";
"07/2025";"06 - Segurança pública";"331 - Proteção e benefícios ao trabalhador";"15.630.026,16";"51.007.660,66";"57.023.145,30";"0,00";
"07/2025";"06 - Segurança pública";"122 - Administração geral";"85.636.239,93";"696.146.129,68";"800.868.273,45";"9.289.526,61";
"07/2025";"06 - Segurança pública";"181 - Policiamento";"117.713.068,12";"159.218.512,03";"473.655.581,85";"144.094.597,56";
"07/2025";"06 - Segurança pública";"182 - Defesa civil";"208.319.488,66";"113.275.816,82";"147.679.542,12";"52.028.506,55";
"08/2025";"06 - Segurança pública";"331 - Proteção e benefícios ao trabalhador";"4.107.273,44";"52.727.066,85";"52.166.989,10";"3.530,18";
"08/2025";"06 - Segurança pública";"846 - Outros encargos especiais";"0,00";"118.379.891,15";"119.149.720,45";"0,00";
"08/2025";"06 - Segurança pública";"422 - Direitos individuais, coletivos e difusos";"1.095.320,27";"1.072.397,84";"546.961,40";"395.085,15";
"08/2025";"06 - Segurança pública";"122 - Administração geral";"79.233.838,26";"673.091.901,59";"727.619.160,88";"23.468.351,98";
"08/2025";"06 - Segurança pública";"421 - Custódia e reintegração social";"21.132.324,85";"2.890.243,79";"2.908.887,81";"17.940.375,65";
"08/2025";"06 - Segurança pública";"181 - Policiamento";"283.856.658,66";"199.305.427,64";"254.841.625,23";"146.195.862,26";
"08/2025";"06 - Segurança pública";"182 - Defesa civil";"93.434.165,58";"101.487.830,73";"95.456.890,97";"34.134.519,70";
"09/2025";"06 - Segurança pública";"128 - Formação de recursos humanos";"0,00";"0,00";"0,00";"0,00";
"09/2025";"06 - Segurança pública";"846 - Outros encargos especiais";"0,00";"118.301.636,04";"118.347.940,91";"0,00";
"09/2025";"06 - Segurança pública";"331 - Proteção e benefícios ao trabalhador";"885.013,60";"49.738.952,38";"50.514.421,60";"0,00";
"09/2025";"06 - Segurança pública";"422 - Direitos individuais, coletivos e difusos";"70.929.723,51";"2.589.609,93";"3.117.504,98";"1.195.240,91";
"09/2025";"06 - Segurança pública";"421 - Custódia e reintegração social";"54.261.173,42";"6.006.110,49";"5.954.227,42";"5.657.467,39";
"09/2025";"06 - Segurança pública";"181 - Policiamento";"221.610.219,91";"419.572.623,53";"440.566.515,41";"178.524.822,11";
"09/2025";"06 - Segurança pública";"122 - Administração geral";"38.742.877,26";"686.158.575,23";"688.868.077,50";"16.156.224,43";
"09/2025";"06 - Segurança pública";"182 - Defesa civil";"150.977.530,13";"82.851.369,30";"101.529.362,71";"30.380.213,15";
"10/2025";"06 - Segurança pública";"846 - Outros encargos especiais";"0,00";"118.111.653,63";"118.323.335,22";"0,00";
"10/2025";"06 - Segurança pública";"422 - Direitos individuais, coletivos e difusos";"5.230.738,18";"2.466.887,88";"2.365.968,99";"182.084,35";
"10/2025";"06 - Segurança pública";"331 - Proteção e benefícios ao trabalhador";"9.880.736,59";"53.880.251,57";"49.370.760,03";"0,00";
"10/2025";"06 - Segurança pública";"421 - Custódia e reintegração social";"11.500.258,99";"3.526.673,14";"3.577.301,03";"36.079.545,38";
"10/2025";"06 - Segurança pública";"122 - Administração geral";"110.585.367,45";"686.430.008,99";"680.111.959,34";"2.187.043,35";
"10/2025";"06 - Segurança pública";"181 - Policiamento";"385.088.367,46";"230.226.317,12";"192.890.570,51";"50.273.135,75";
"10/2025";"06 - Segurança pública";"182 - Defesa civil";"16.398.668,96";"81.656.130,42";"66.789.250,87";"49.476.807,70";
"11/2025";"06 - Segurança pública";"131 - Comunicação social";"81.794,90";"0,00";"0,00";"0,00";
"11/2025";"06 - Segurança pública";"846 - Outros encargos especiais";"111.814.496,00";"235.259.623,56";"118.130.453,03";"0,00";
"11/2025";"06 - Segurança pública";"422 - Direitos individuais, coletivos e difusos";"8.915.682,89";"1.987.143,13";"1.637.330,59";"108.708,92";
"11/2025";"06 - Segurança pública";"421 - Custódia e reintegração social";"11.883.954,39";"29.292.293,34";"27.264.844,69";"2.460.390,68";
"11/2025";"06 - Segurança pública";"182 - Defesa civil";"229.122.254,27";"84.017.321,51";"51.472.362,35";"38.817.183,65";
"11/2025";"06 - Segurança pública";"331 - Proteção e benefícios ao trabalhador";"2.811.379,71";"56.549.203,22";"54.399.410,01";"0,00";
"11/2025";"06 - Segurança pública";"181 - Policiamento";"270.542.908,33";"190.451.402,80";"212.307.088,49";"99.968.414,01";
"11/2025";"06 - Segurança pública";"122 - Administração geral";"584.418.861,39";"1.007.889.690,45";"706.527.440,04";"1.350.345,76";
"12/2025";"06 - Segurança pública";"131 - Comunicação social";"118.205,10";"311,99";"311,99";"0,00";
"12/2025";"06 - Segurança pública";"128 - Formação de recursos humanos";"5.754.600,00";"51.451.000,00";"51.451.000,00";"0,00";
"12/2025";"06 - Segurança pública";"846 - Outros encargos especiais";"66.235.792,03";"117.649.980,64";"235.190.158,61";"5.735,46";
"12/2025";"06 - Segurança pública";"422 - Direitos individuais, coletivos e difusos";"116.142.229,92";"10.939.234,20";"6.546.360,00";"579.425,44";
"12/2025";"06 - Segurança pública";"421 - Custódia e reintegração social";"516.757.059,00";"443.740.227,50";"445.144.522,66";"13.087.026,85";
"12/2025";"06 - Segurança pública";"331 - Proteção e benefícios ao trabalhador";"- 1.065.565,69";"55.134.240,52";"54.487.237,01";"0,00";
"12/2025";"06 - Segurança pública";"122 - Administração geral";"254.318.141,77";"873.079.083,31";"1.016.257.345,59";"5.482.976,83";
"12/2025";"06 - Segurança pública";"181 - Policiamento";"647.356.070,54";"846.101.250,22";"875.694.855,57";"116.720.835,04";
"12/2025";"06 - Segurança pública";"182 - Defesa civil";"108.198.540,41";"119.183.304,76";"150.946.309,13";"29.920.138,57";
